"lgd_id","geo_year","lgd_name","lgd_counties","lgd_url"
"53001","2010","1st","King, Snohomish","https://en.wikipedia.org/wiki/Washington%27s_1st_legislative_district"
"53002","2010","2nd","Pierce, Thurston","https://en.wikipedia.org/wiki/Washington%27s_2nd_legislative_district"
"53003","2010","3rd","Spokane","https://en.wikipedia.org/wiki/Washington%27s_3rd_legislative_district"
"53004","2010","4th","Spokane","https://en.wikipedia.org/wiki/Washington%27s_4th_legislative_district"
"53005","2010","5th","King","https://en.wikipedia.org/wiki/Washington%27s_5th_legislative_district"
"53006","2010","6th","Spokane","https://en.wikipedia.org/wiki/Washington%27s_6th_legislative_district"
"53007","2010","7th","Ferry, Okanogan, Pend Oreille, Spokane, Stevens","https://en.wikipedia.org/wiki/Washington%27s_7th_legislative_district"
"53008","2010","8th","Benton","https://en.wikipedia.org/wiki/Washington%27s_8th_legislative_district"
"53009","2010","9th","Adams, Asotin, Franklin, Garfield, Spokane, Whitman","https://en.wikipedia.org/wiki/Washington%27s_9th_legislative_district"
"53010","2010","10th","Island, Skagit, Snohomish","https://en.wikipedia.org/wiki/Washington%27s_10th_legislative_district"
"53011","2010","11th","King","https://en.wikipedia.org/wiki/Washington%27s_11th_legislative_district"
"53012","2010","12th","Chelan, Douglas, Grant, Okanogan","https://en.wikipedia.org/wiki/Washington%27s_12th_legislative_district"
"53013","2010","13th","Grant, Kittitas, Lincoln, Yakima","https://en.wikipedia.org/wiki/Washington%27s_13th_legislative_district"
"53014","2010","14th","Clark, Klickitat, Skamania, Yakima","https://en.wikipedia.org/wiki/Washington%27s_14th_legislative_district"
"53015","2010","15th","Yakima","https://en.wikipedia.org/wiki/Washington%27s_15th_legislative_district"
"53016","2010","16th","Benton, Columbia, Franklin, Walla Walla","https://en.wikipedia.org/wiki/Washington%27s_16th_legislative_district"
"53017","2010","17th","Clark","https://en.wikipedia.org/wiki/Washington%27s_17th_legislative_district"
"53018","2010","18th","Clark","https://en.wikipedia.org/wiki/Washington%27s_18th_legislative_district"
"53019","2010","19th","Cowlitz, Grays Harbor, Lewis, Pacific, Wahkiakum","https://en.wikipedia.org/wiki/Washington%27s_19th_legislative_district"
"53020","2010","20th","Clark, Cowlitz, Lewis, Thurston","https://en.wikipedia.org/wiki/Washington%27s_20th_legislative_district"
"53021","2010","21st","Snohomish","https://en.wikipedia.org/wiki/Washington%27s_21st_legislative_district"
"53022","2010","22nd","Thurston","https://en.wikipedia.org/wiki/Washington%27s_22nd_legislative_district"
"53023","2010","23rd","Kitsap","https://en.wikipedia.org/wiki/Washington%27s_23rd_legislative_district"
"53024","2010","24th","Clallam, Grays Harbor, Jefferson","https://en.wikipedia.org/wiki/Washington%27s_24th_legislative_district"
"53025","2010","25th","Pierce","https://en.wikipedia.org/wiki/Washington%27s_25th_legislative_district"
"53026","2010","26th","Kitsap, Pierce","https://en.wikipedia.org/wiki/Washington%27s_26th_legislative_district"
"53027","2010","27th","Pierce","https://en.wikipedia.org/wiki/Washington%27s_27th_legislative_district"
"53028","2010","28th","Pierce","https://en.wikipedia.org/wiki/Washington%27s_28th_legislative_district"
"53029","2010","29th","Pierce","https://en.wikipedia.org/wiki/Washington%27s_29th_legislative_district"
"53030","2010","30th","King, Pierce","https://en.wikipedia.org/wiki/Washington%27s_30th_legislative_district"
"53031","2010","31st","King, Pierce","https://en.wikipedia.org/wiki/Washington%27s_31st_legislative_district"
"53032","2010","32nd","King, Snohomish","https://en.wikipedia.org/wiki/Washington%27s_32nd_legislative_district"
"53033","2010","33rd","King","https://en.wikipedia.org/wiki/Washington%27s_33rd_legislative_district"
"53034","2010","34th","King","https://en.wikipedia.org/wiki/Washington%27s_34th_legislative_district"
"53035","2010","35th","Kitsap, Mason, Thurston","https://en.wikipedia.org/wiki/Washington%27s_35th_legislative_district"
"53036","2010","36th","King","https://en.wikipedia.org/wiki/Washington%27s_36th_legislative_district"
"53037","2010","37th","King","https://en.wikipedia.org/wiki/Washington%27s_37th_legislative_district"
"53038","2010","38th","Snohomish","https://en.wikipedia.org/wiki/Washington%27s_38th_legislative_district"
"53039","2010","39th","King, Skagit, Snohomish","https://en.wikipedia.org/wiki/Washington%27s_39th_legislative_district"
"53040","2010","40th","San Juan, Skagit, Whatcom","https://en.wikipedia.org/wiki/Washington%27s_40th_legislative_district"
"53041","2010","41st","King","https://en.wikipedia.org/wiki/Washington%27s_41st_legislative_district"
"53042","2010","42nd","Whatcom","https://en.wikipedia.org/wiki/Washington%27s_42nd_legislative_district"
"53043","2010","43rd","King","https://en.wikipedia.org/wiki/Washington%27s_43rd_legislative_district"
"53044","2010","44th","Snohomish","https://en.wikipedia.org/wiki/Washington%27s_44th_legislative_district"
"53045","2010","45th","King","https://en.wikipedia.org/wiki/Washington%27s_45th_legislative_district"
"53046","2010","46th","King","https://en.wikipedia.org/wiki/Washington%27s_46th_legislative_district"
"53047","2010","47th","King","https://en.wikipedia.org/wiki/Washington%27s_47th_legislative_district"
"53048","2010","48th","King","https://en.wikipedia.org/wiki/Washington%27s_48th_legislative_district"
"53049","2010","49th","Clark","https://en.wikipedia.org/wiki/Washington%27s_49th_legislative_district"
