"geo_id_code","geo_id","type"
8,"District 8","kccd"
5,"District 5","kccd"
9,"District 9","kccd"
7,"District 7","kccd"
3,"District 3","kccd"
4,"District 4","kccd"
6,"District 6","kccd"
2,"District 2","kccd"
1,"District 1","kccd"
4,"SE King County Area","CSA"
5,"Snoqualmie Valley NE King County Area","CSA"
6,"Vashon/Maury Island Area","CSA"
7,"West King County Areas","CSA"
1,"Central","CCL"
2,"East","CCL"
3,"North","CCL"
4,"South","CCL"
5323313,"Seattle City (Southeast) PUMA","PUMA"
5323316,"Seattle City (Northwest) PUMA","PUMA"
5323307,"King County (Southwest)--Auburn City & Lakeland PUMA","PUMA"
5323301,"King County (Northwest)--Shoreline, Kenmore & Bothell (South) Cities PUMA","PUMA"
5323305,"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA","PUMA"
5323306,"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA","PUMA"
5323303,"King County (Northwest)--Redmond, Kirkland Cities, Ingelwood & Finn Hill PUMA","PUMA"
5323318,"Seattle City (North) PUMA","PUMA"
5323312,"Seatle City (West Seattle-Industrial) PUMA","PUMA"
5323315,"Seattle City (Lake Union-Downtown) PUMA","PUMA"
5323310,"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA","PUMA"
5323314,"Seattle City (Central) PUMA","PUMA"
5323309,"King County (Southwest Central)--Kent City PUMA","PUMA"
5323304,"King County (Northwest Central)--Greater Bellevue City PUMA","PUMA"
5323317,"Seattle City (Northeast) PUMA","PUMA"
5323311,"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA","PUMA"
5323302,"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA","PUMA"
5323308,"King County (Far Southwest)--Federal Way, Des Moines Cities & Vashon Island PUMA","PUMA"
1,"Bear Creek/Sammamish Area","CSA"
2,"Four Creeks/Tiger Mountain Area","CSA"
3,"Greater Maple Valley/Cedar River Area","CSA"
5303363000,"Seattle","Inc_Uninc"
5303357745,"Renton","Inc_Uninc"
5303343150,"Maple Valley","Inc_Uninc"
5303335940,"Kirkland","Inc_Uninc"
0,"Unincorp King County","Inc_Uninc"
5303335415,"Kent","Inc_Uninc"
5303362288,"SeaTac","Inc_Uninc"
5303379590,"Woodinville","Inc_Uninc"
5303372625,"Tukwila","Inc_Uninc"
5303363960,"Shoreline","Inc_Uninc"
5303308850,"Burien","Inc_Uninc"
5303305210,"Bellevue","Inc_Uninc"
5303323515,"Federal Way","Inc_Uninc"
5303365205,"Snoqualmie","Inc_Uninc"
5303361115,"Sammamish","Inc_Uninc"
5303322045,"Enumclaw","Inc_Uninc"
5303345005,"Mercer Island","Inc_Uninc"
5303307380,"Bothell","Inc_Uninc"
5303333805,"Issaquah","Inc_Uninc"
5303364855,"Skykomish","Inc_Uninc"
5303335170,"Kenmore","Inc_Uninc"
5303344725,"Medina","Inc_Uninc"
5303304895,"Beaux Arts Village","Inc_Uninc"
5303303180,"Auburn","Inc_Uninc"
5303357535,"Redmond","Inc_Uninc"
5303348645,"Newcastle","Inc_Uninc"
5303315290,"Covington","Inc_Uninc"
5303349485,"North Bend","Inc_Uninc"
5303337270,"Lake Forest Park","Inc_Uninc"
5303306330,"Black Diamond","Inc_Uninc"
5303317635,"Des Moines","Inc_Uninc"
5303313365,"Clyde Hill","Inc_Uninc"
5303310215,"Carnation","Inc_Uninc"
5303319035,"Duvall","Inc_Uninc"
5303352495,"Pacific","Inc_Uninc"
5303301290,"Algona","Inc_Uninc"
5303349415,"Normandy Park","Inc_Uninc"
5303346020,"Milton","Inc_Uninc"
5303332755,"Hunts Point","Inc_Uninc"
5303380150,"Yarrow Point","Inc_Uninc"
1,"Muckleshoot","tribal"
2,"Snoqualmie","tribal"
3,"Puyallup","tribal"
