"wa","kingco","tract10","puma"
53,33,300,11600
53,33,401,11600
53,33,402,11600
53,33,500,11600
53,33,600,11600
53,33,1300,11600
53,33,1400,11600
53,33,1500,11600
53,33,1600,11600
53,33,1701,11600
53,33,1702,11600
53,33,1800,11600
53,33,2700,11600
53,33,2800,11600
53,33,2900,11600
53,33,3000,11600
53,33,3100,11600
53,33,3200,11600
53,33,3300,11600
53,33,3400,11600
53,33,3500,11600
53,33,3600,11600
53,33,4600,11600
53,33,4700,11600
53,33,4800,11600
53,33,4900,11600
53,33,5000,11600
53,33,5100,11600
53,33,5400,11600
53,33,100,11600
53,33,200,11600
53,33,700,11600
53,33,800,11600
53,33,900,11600
53,33,1000,11600
53,33,1100,11600
53,33,1200,11600
53,33,1900,11600
53,33,2000,11600
53,33,2100,11600
53,33,2200,11600
53,33,2400,11600
53,33,2500,11600
53,33,2600,11600
53,33,3800,11600
53,33,3900,11600
53,33,4000,11600
53,33,4100,11600
53,33,4200,11600
53,33,4301,11600
53,33,4302,11600
53,33,4400,11600
53,33,4500,11600
53,33,5200,11600
53,33,5301,11600
53,33,5302,11600
53,33,5600,11600
53,33,5700,11600
53,33,5801,11600
53,33,5802,11600
53,33,5900,11600
53,33,6000,11600
53,33,6100,11600
53,33,6600,11600
53,33,6700,11600
53,33,6800,11600
53,33,6900,11600
53,33,7000,11600
53,33,7100,11600
53,33,7200,11600
53,33,7300,11600
53,33,7401,11600
53,33,7402,11600
53,33,8001,11600
53,33,8002,11600
53,33,8100,11600
53,33,8200,11600
53,33,8300,11600
53,33,8400,11600
53,33,8500,11600
53,33,9100,11600
53,33,9200,11600
53,33,6200,11600
53,33,6300,11600
53,33,6400,11600
53,33,6500,11600
53,33,7500,11600
53,33,7600,11600
53,33,7700,11600
53,33,7800,11600
53,33,7900,11600
53,33,8600,11600
53,33,8700,11600
53,33,8800,11600
53,33,8900,11600
53,33,9000,11600
53,33,9500,11600
53,33,10100,11600
53,33,10200,11600
53,33,10300,11600
53,33,11101,11600
53,33,11102,11600
53,33,11800,11600
53,33,11900,11600
53,33,9300,11600
53,33,9400,11600
53,33,9600,11600
53,33,9701,11600
53,33,9702,11600
53,33,9800,11600
53,33,9900,11600
53,33,10001,11600
53,33,10002,11600
53,33,10401,11600
53,33,10402,11600
53,33,10500,11600
53,33,10600,11600
53,33,10701,11600
53,33,10702,11600
53,33,10800,11600
53,33,10900,11600
53,33,11001,11600
53,33,11002,11600
53,33,11200,11600
53,33,11300,11600
53,33,11401,11600
53,33,11402,11600
53,33,11500,11600
53,33,11600,11600
53,33,11700,11600
53,33,12000,11600
53,33,12100,11600
53,33,20100,11600
53,33,20200,11600
53,33,20300,11600
53,33,20401,11600
53,33,20402,11600
53,33,20500,11600
53,33,20600,11600
53,33,20700,11600
53,33,20800,11600
53,33,20900,11600
53,33,21000,11600
53,33,21100,11600
53,33,21300,11600
53,33,21400,11600
53,33,21500,11600
53,33,21600,11600
53,33,21700,11600
53,33,21802,11600
53,33,21803,11600
53,33,21804,11600
53,33,21905,11600
53,33,22001,11600
53,33,22101,11600
53,33,22102,11600
53,33,21903,11600
53,33,21904,11600
53,33,22003,11600
53,33,22005,11600
53,33,22006,11600
53,33,22201,11600
53,33,22202,11600
53,33,22203,11600
53,33,22300,11600
53,33,22400,11600
53,33,22500,11600
53,33,22603,11600
53,33,22604,11600
53,33,22605,11600
53,33,22606,11600
53,33,22701,11600
53,33,22702,11600
53,33,22703,11600
53,33,22802,11600
53,33,22803,11600
53,33,22902,11600
53,33,32309,11600
53,33,32313,11600
53,33,32323,11600
53,33,32324,11600
53,33,32325,11600
53,33,22801,11600
53,33,22901,11600
53,33,23000,11600
53,33,23100,11600
53,33,23201,11600
53,33,23202,11600
53,33,23300,11600
53,33,23401,11600
53,33,23403,11600
53,33,23500,11600
53,33,23601,11600
53,33,23603,11600
53,33,23604,11600
53,33,23700,11600
53,33,23801,11600
53,33,23803,11600
53,33,23804,11600
53,33,23900,11600
53,33,24000,11600
53,33,24100,11600
53,33,24200,11600
53,33,24701,11600
53,33,24800,11600
53,33,24901,11600
53,33,24902,11600
53,33,24903,11600
53,33,25003,11600
53,33,23404,11600
53,33,24300,11600
53,33,24400,11600
53,33,24500,11600
53,33,24601,11600
53,33,24602,11600
53,33,24702,11600
53,33,25001,11600
53,33,25005,11600
53,33,25006,11600
53,33,32103,11600
53,33,32104,11600
53,33,32203,11600
53,33,32207,11600
53,33,32208,11600
53,33,32210,11600
53,33,32211,11600
53,33,32212,11600
53,33,32213,11600
53,33,32214,11600
53,33,32215,11600
53,33,32316,11600
53,33,32317,11600
53,33,32318,11600
53,33,25101,11610
53,33,25102,11610
53,33,25200,11610
53,33,25301,11610
53,33,25302,11610
53,33,25400,11610
53,33,25500,11610
53,33,25601,11610
53,33,25602,11610
53,33,25701,11610
53,33,25702,11610
53,33,25803,11610
53,33,25804,11610
53,33,25805,11610
53,33,25806,11610
53,33,26001,11610
53,33,26002,11610
53,33,26100,11610
53,33,29303,11610
53,33,29304,11610
53,33,31907,11610
53,33,31908,11610
53,33,31909,11610
53,33,26200,11610
53,33,26300,11610
53,33,26400,11610
53,33,26500,11610
53,33,26600,11610
53,33,26700,11610
53,33,26801,11610
53,33,26802,11610
53,33,27000,11610
53,33,27100,11610
53,33,27200,11610
53,33,27300,11610
53,33,27400,11610
53,33,27500,11610
53,33,27600,11610
53,33,27800,11610
53,33,27900,11610
53,33,28000,11610
53,33,28100,11610
53,33,28200,11610
53,33,28300,11610
53,33,28402,11610
53,33,28403,11610
53,33,28500,11610
53,33,28600,11610
53,33,28700,11610
53,33,28801,11610
53,33,28802,11610
53,33,27701,11610
53,33,27702,11610
53,33,28901,11610
53,33,28902,11610
53,33,29001,11610
53,33,29003,11610
53,33,30003,11610
53,33,30004,11610
53,33,30005,11610
53,33,30006,11610
53,33,30100,11610
53,33,30201,11610
53,33,30202,11610
53,33,30304,11610
53,33,30305,11610
53,33,30306,11610
53,33,30308,11610
53,33,30309,11610
53,33,30310,11610
53,33,30311,11610
53,33,30312,11610
53,33,30313,11610
53,33,30314,11610
53,33,990100,11610
53,33,29004,11610
53,33,29101,11610
53,33,29102,11610
53,33,29203,11610
53,33,29204,11610
53,33,29205,11610
53,33,29206,11610
53,33,29305,11610
53,33,29306,11610
53,33,29307,11610
53,33,29403,11610
53,33,29405,11610
53,33,29406,11610
53,33,29407,11610
53,33,29408,11610
53,33,29502,11610
53,33,29503,11610
53,33,29504,11610
53,33,29601,11610
53,33,29700,11610
53,33,29801,11610
53,33,31703,11610
53,33,31704,11610
53,33,29602,11610
53,33,29802,11610
53,33,29901,11610
53,33,29902,11610
53,33,30401,11610
53,33,30403,11610
53,33,30404,11610
53,33,30501,11610
53,33,30503,11610
53,33,30504,11610
53,33,30600,11610
53,33,30700,11610
53,33,30801,11610
53,33,30802,11610
53,33,30901,11610
53,33,30902,11610
53,33,31000,11610
53,33,31100,11610
53,33,31202,11610
53,33,31205,11610
53,33,31206,11610
53,33,31204,11610
53,33,31301,11610
53,33,31302,11610
53,33,31400,11610
53,33,31501,11610
53,33,31502,11610
53,33,31601,11610
53,33,31603,11610
53,33,31604,11610
53,33,31605,11610
53,33,31705,11610
53,33,31706,11610
53,33,31800,11610
53,33,31903,11610
53,33,31904,11610
53,33,31906,11610
53,33,32002,11610
53,33,32003,11610
53,33,32005,11610
53,33,32006,11610
53,33,32007,11610
53,33,32008,11610
53,33,32010,11610
53,33,32011,11610
53,33,32102,11610
53,33,21906,11610
53,33,32307,11610
53,33,32311,11610
53,33,32315,11610
53,33,32319,11610
53,33,32320,11610
53,33,32321,11610
53,33,32322,11610
53,33,32326,11610
53,33,32327,11610
53,33,32328,11610
53,33,32329,11610
53,33,32401,11610
53,33,32402,11610
53,33,32500,11610
53,33,32601,11610
53,33,32602,11610
53,33,32702,11610
53,33,32703,11610
53,33,32704,11610
53,33,32800,11610
